Study_accession	Field	DOID	Name	Match	Match Type
SDY20	hypothesis	9471	meningitis	MENINGITIS	PREF
SDY20	hypothesis	4	disease	DISEASE	PREF
SDY20	description	10554	meningoencephalitis	MENINGOENCEPHALITIS	PREF
SDY20	description	10554	meningoencephalitis	MENINGOENCEPHALITIS	PREF
SDY20	description	2366	West Nile fever	WEST NILE FEVER	PREF
SDY1249	hypothesis	162	cancer	CANCER	PREF
SDY1249	description	8712	neurofibromatosis	NEUROFIBROMATOSIS TYPE 1	SYN
SDY1249	description	8712	neurofibromatosis	NEUROFIBROMATOSIS	PREF
SDY1249	description	3069	astrocytoma	ASTROCYTOMA	PREF
SDY200	brief_title	8469	influenza	INFLUENZA	PREF
SDY200	brief_title	8857	lupus erythematosus	LUPUS	SYN
SDY200	condition_studied	8857	lupus erythematosus	LUPUS	SYN
SDY200	endpoints	8469	influenza	INFLUENZA	PREF
SDY200	description	8469	influenza	INFLUENZA	PREF
SDY200	description	8469	influenza	INFLUENZA	PREF
SDY200	description	8469	influenza	INFLUENZA	PREF
SDY200	description	8469	influenza	INFLUENZA	PREF
SDY200	description	8469	influenza	INFLUENZA	PREF
SDY200	description	8469	influenza	INFLUENZA	PREF
SDY200	description	8469	influenza	INFLUENZA	PREF
SDY200	description	8469	influenza	INFLUENZA	PREF
SDY200	description	8469	influenza	INFLUENZA	PREF
SDY200	description	4	disease	DISEASE	PREF
SDY200	description	4	disease	DISEASE	PREF
SDY200	description	8857	lupus erythematosus	LUPUS	SYN
SDY200	description	8857	lupus erythematosus	LUPUS	SYN
SDY200	description	8857	lupus erythematosus	LUPUS	SYN
SDY200	description	8857	lupus erythematosus	LUPUS	SYN
SDY200	description	8857	lupus erythematosus	LUPUS	SYN
SDY39	brief_title	8469	influenza	INFLUENZA	PREF
SDY39	condition_studied	8469	influenza	INFLUENZA	PREF
SDY39	hypothesis	8469	influenza	INFLUENZA	PREF
SDY1108	brief_title	162	cancer	CANCER	PREF
SDY1108	condition_studied	162	cancer	CANCER	PREF
SDY1108	endpoints	1909	melanoma	MELANOMA	PREF
SDY1108	endpoints	1909	melanoma	MELANOMA	PREF
SDY1108	endpoints	4358	obsolete metastatic melanoma	METASTATIC MELANOMA	PREF
SDY1108	hypothesis	162	cancer	CANCER	PREF
SDY1108	description	1612	breast cancer	BREAST CANCER	PREF
SDY1108	description	162	cancer	CANCER	PREF
SDY3	description	2723	dermatitis	SKIN INFLAMMATION	SYN
SDY3	description	8736	smallpox	SMALLPOX	PREF
SDY3	description	1205	allergic hypersensitivity disease	ALLERGY	SYN
SDY568	condition_studied	9351	diabetes mellitus	DIABETES MELLITUS	PREF
SDY547	brief_title	225	syndrome	SYNDROME	PREF
SDY547	brief_title	2377	multiple sclerosis	MULTIPLE SCLEROSIS	PREF
SDY547	condition_studied	2377	multiple sclerosis	MULTIPLE SCLEROSIS	PREF
SDY547	description	14200	obsolete diplopia	DOUBLE VISION	SYN
SDY547	description	0111084	Fanconi anemia complementation group E	FACE	SYN
SDY547	description	4	disease	DISEASE	PREF
SDY1464	brief_title	8469	influenza	INFLUENZA	PREF
SDY1464	condition_studied	8469	influenza	INFLUENZA	PREF
SDY1464	hypothesis	8469	influenza	FLU	SYN
SDY1464	description	8469	influenza	FLU	SYN
SDY352	description	4	disease	DISEASE	PREF
SDY358	condition_studied	4	disease	DISEASE	PREF
SDY358	endpoints	557	kidney disease	NEPHROPATHY	SYN
SDY1370	brief_title	8736	smallpox	SMALLPOX	PREF
SDY1370	brief_title	3298	vaccinia	VACCINIA	PREF
SDY1370	hypothesis	8736	smallpox	SMALLPOX	PREF
SDY1370	hypothesis	3298	vaccinia	VACCINIA	PREF
SDY1370	description	8736	smallpox	SMALLPOX	PREF
SDY1370	description	3298	vaccinia	VACCINIA	PREF
SDY689	hypothesis	557	kidney disease	NEPHROPATHY	SYN
SDY67	brief_title	8469	influenza	INFLUENZA	PREF
SDY67	condition_studied	8469	influenza	INFLUENZA	PREF
SDY41	brief_title	8469	influenza	INFLUENZA	PREF
SDY41	endpoints	8469	influenza	INFLUENZA	PREF
SDY41	endpoints	8469	influenza	INFLUENZA	PREF
SDY41	description	934	viral infectious disease	VIRUS INFECTION	SYN
SDY41	description	934	viral infectious disease	VIRUS INFECTION	SYN
SDY41	description	8469	influenza	INFLUENZA	PREF
SDY41	description	8469	influenza	INFLUENZA	PREF
SDY644	brief_title	8469	influenza	INFLUENZA	PREF
SDY644	condition_studied	8469	influenza	INFLUENZA	PREF
SDY644	description	4492	avian influenza	AVIAN INFLUENZA	PREF
SDY644	description	8469	influenza	INFLUENZA	PREF
SDY87	description	8469	influenza	INFLUENZA	PREF
SDY269	brief_title	8469	influenza	INFLUENZA	PREF
SDY269	brief_title	8469	influenza	INFLUENZA	PREF
SDY269	condition_studied	8469	influenza	INFLUENZA	PREF
SDY269	hypothesis	8469	influenza	INFLUENZA	PREF
SDY269	hypothesis	8469	influenza	INFLUENZA	PREF
SDY269	hypothesis	8469	influenza	INFLUENZA	PREF
SDY269	description	8469	influenza	INFLUENZA	PREF
SDY269	description	8469	influenza	INFLUENZA	PREF
SDY1039	brief_title	419	scleroderma	SCLERODERMA	PREF
SDY1039	brief_title	418	systemic scleroderma	SCLERODERMA	SYN
SDY1039	condition_studied	419	scleroderma	SCLERODERMA	PREF
SDY1039	condition_studied	418	systemic scleroderma	SCLERODERMA	SYN
SDY180	brief_title	8469	influenza	INFLUENZA	PREF
SDY180	description	8469	influenza	INFLUENZA	PREF
SDY180	description	8469	influenza	INFLUENZA	PREF
SDY226	brief_title	8469	influenza	INFLUENZA	PREF
SDY226	condition_studied	8469	influenza	INFLUENZA	PREF
SDY226	endpoints	8469	influenza	INFLUENZA	PREF
SDY226	endpoints	8469	influenza	INFLUENZA	PREF
SDY226	description	8469	influenza	INFLUENZA	PREF
SDY226	description	8469	influenza	INFLUENZA	PREF
SDY226	description	8469	influenza	INFLUENZA	PREF
SDY226	description	8469	influenza	INFLUENZA	PREF
SDY226	description	8469	influenza	INFLUENZA	PREF
SDY226	description	8469	influenza	INFLUENZA	PREF
SDY1267	brief_title	12365	malaria	MALARIA	PREF
SDY1267	condition_studied	12365	malaria	MALARIA	PREF
SDY1267	hypothesis	12365	malaria	MALARIA	PREF
SDY1267	hypothesis	12365	malaria	MALARIA	PREF
SDY1267	description	12365	malaria	MALARIA	PREF
SDY1267	description	12365	malaria	MALARIA	PREF
SDY23	brief_title	1498	cholera	CHOLERA	PREF
SDY23	condition_studied	1498	cholera	CHOLERA	PREF
SDY23	endpoints	13250	diarrhea	DIARRHEA	PREF
SDY23	hypothesis	4	disease	DISEASE	PREF
SDY23	hypothesis	1498	cholera	CHOLERA	PREF
SDY23	hypothesis	1498	cholera	CHOLERA	PREF
SDY23	hypothesis	1498	cholera	CHOLERA	PREF
SDY23	hypothesis	1498	cholera	CHOLERA	PREF
SDY23	hypothesis	1498	cholera	CHOLERA	PREF
SDY23	hypothesis	13258	typhoid fever	TYPHOID	SYN
SDY23	description	1498	cholera	CHOLERA	PREF
SDY524	condition_studied	9351	diabetes mellitus	DIABETES MELLITUS	PREF
SDY524	description	417	autoimmune hypersensitivity disease	AUTOIMMUNE DISEASE	SYN
SDY524	description	4	disease	DISEASE	PREF
SDY524	description	9744	type 1 diabetes mellitus	TYPE 1 DIABETES MELLITUS	PREF
SDY524	description	9351	diabetes mellitus	DIABETES MELLITUS	PREF
SDY508	hypothesis	4	disease	DISEASE	PREF
SDY508	description	4	disease	DISEASE	PREF
SDY212	brief_title	8469	influenza	INFLUENZA	PREF
SDY212	endpoints	8469	influenza	INFLUENZA	PREF
SDY212	description	8469	influenza	INFLUENZA	PREF
SDY212	description	8469	influenza	INFLUENZA	PREF
SDY133	condition_studied	783	end stage renal failure	END STAGE RENAL DISEASE	SYN
SDY133	condition_studied	4	disease	DISEASE	PREF
SDY133	endpoints	10763	hypertension	HYPERTENSION	PREF
SDY133	description	0111084	Fanconi anemia complementation group E	FACE	SYN
SDY133	description	4	disease	DISEASE	PREF
SDY545	brief_title	2841	asthma	ASTHMA	PREF
SDY545	condition_studied	2841	asthma	ASTHMA	PREF
SDY545	endpoints	1205	allergic hypersensitivity disease	ALLERGY	SYN
SDY545	endpoints	2841	asthma	ASTHMA	PREF
SDY545	description	2841	asthma	ASTHMA	PREF
SDY545	description	2841	asthma	ASTHMA	PREF
SDY545	description	2841	asthma	ASTHMA	PREF
SDY545	description	2841	asthma	ASTHMA	PREF
SDY545	description	2841	asthma	ASTHMA	PREF
SDY545	description	2841	asthma	ASTHMA	PREF
SDY545	description	2841	asthma	ASTHMA	PREF
SDY545	description	1205	allergic hypersensitivity disease	ALLERGY	SYN
SDY545	description	1205	allergic hypersensitivity disease	ALLERGY	SYN
SDY545	description	4	disease	DISEASE	PREF
SDY545	description	2723	dermatitis	ECZEMA	SYN
SDY545	description	2723	dermatitis	ECZEMA	SYN
SDY545	description	4481	allergic rhinitis	ALLERGIC RHINITIS	PREF
SDY545	description	4483	rhinitis	RHINITIS	PREF
SDY300	description	8469	influenza	FLU	SYN
SDY753	hypothesis	8469	influenza	INFLUENZA	PREF
SDY364	brief_title	8469	influenza	INFLUENZA	PREF
SDY364	hypothesis	8469	influenza	INFLUENZA	PREF
SDY1424	condition_studied	12365	malaria	MALARIA	PREF
SDY1424	description	12365	malaria	MALARIA	PREF
SDY1424	description	4	disease	DISEASE	PREF
SDY1424	description	4	disease	DISEASE	PREF
SDY1424	description	1398	parasitic infectious disease	PARASITEMIA	SYN
SDY461	condition_studied	8577	ulcerative colitis	ULCERATIVE COLITIS	PREF
SDY461	condition_studied	0060180	colitis	COLITIS	PREF
SDY461	condition_studied	8469	influenza	INFLUENZA	PREF
SDY293	hypothesis	850	lung disease	LUNG DISEASE	PREF
SDY293	hypothesis	4	disease	DISEASE	PREF
SDY293	description	850	lung disease	LUNG DISEASE	PREF
SDY293	description	4	disease	DISEASE	PREF
SDY1092	brief_title	12365	malaria	MALARIA	PREF
SDY1092	condition_studied	12365	malaria	MALARIA	PREF
SDY1092	description	12365	malaria	MALARIA	PREF
SDY201	brief_title	8469	influenza	INFLUENZA	PREF
SDY201	brief_title	8857	lupus erythematosus	LUPUS	SYN
SDY201	condition_studied	8857	lupus erythematosus	LUPUS	SYN
SDY201	endpoints	8469	influenza	INFLUENZA	PREF
SDY201	description	8469	influenza	INFLUENZA	PREF
SDY201	description	8469	influenza	INFLUENZA	PREF
SDY201	description	8469	influenza	INFLUENZA	PREF
SDY201	description	8469	influenza	INFLUENZA	PREF
SDY201	description	8469	influenza	INFLUENZA	PREF
SDY201	description	8469	influenza	INFLUENZA	PREF
SDY201	description	8469	influenza	INFLUENZA	PREF
SDY201	description	8469	influenza	INFLUENZA	PREF
SDY201	description	8469	influenza	INFLUENZA	PREF
SDY201	description	4	disease	DISEASE	PREF
SDY201	description	4	disease	DISEASE	PREF
SDY201	description	8857	lupus erythematosus	LUPUS	SYN
SDY201	description	8857	lupus erythematosus	LUPUS	SYN
SDY201	description	8857	lupus erythematosus	LUPUS	SYN
SDY201	description	8857	lupus erythematosus	LUPUS	SYN
SDY201	description	8857	lupus erythematosus	LUPUS	SYN
SDY1446	condition_studied	399	tuberculosis	TUBERCULOSIS	PREF
SDY1446	description	399	tuberculosis	TUBERCULOSIS	PREF
SDY1446	description	399	tuberculosis	TUBERCULOSIS	PREF
SDY951	endpoints	557	kidney disease	NEPHROPATHY	SYN
SDY522	brief_title	8469	influenza	INFLUENZA	PREF
SDY522	brief_title	8469	influenza	INFLUENZA	PREF
SDY522	condition_studied	8469	influenza	INFLUENZA	PREF
SDY522	hypothesis	8469	influenza	INFLUENZA	PREF
SDY1485	condition_studied	2841	asthma	ASTHMA	PREF
SDY1485	description	2841	asthma	ASTHMA	PREF
SDY1217	brief_title	11054	urinary bladder cancer	BLADDER CANCER	SYN
SDY1217	brief_title	162	cancer	CANCER	PREF
SDY1217	condition_studied	11054	urinary bladder cancer	BLADDER CANCER	SYN
SDY1217	condition_studied	162	cancer	CANCER	PREF
SDY1217	description	11054	urinary bladder cancer	BLADDER CANCER	SYN
SDY1217	description	162	cancer	CANCER	PREF
SDY472	brief_title	8469	influenza	INFLUENZA	PREF
SDY472	condition_studied	8469	influenza	INFLUENZA	PREF
SDY472	hypothesis	8469	influenza	INFLUENZA	PREF
SDY472	description	8469	influenza	INFLUENZA	PREF
SDY472	description	8469	influenza	INFLUENZA	PREF
SDY472	description	8469	influenza	INFLUENZA	PREF
SDY472	description	8469	influenza	INFLUENZA	PREF
SDY472	description	8469	influenza	INFLUENZA	PREF
SDY983	description	4	disease	DISEASE	PREF
SDY132	endpoints	557	kidney disease	NEPHROPATHY	SYN
SDY132	endpoints	10763	hypertension	HYPERTENSION	PREF
SDY132	endpoints	2355	anemia	ANEMIA	PREF
SDY132	endpoints	615	leukopenia	LEUKOPENIA	PREF
SDY132	endpoints	1227	neutropenia	NEUTROPENIA	PREF
SDY132	endpoints	9351	diabetes mellitus	DIABETES MELLITUS	PREF
SDY132	endpoints	4	disease	DISEASE	PREF
SDY132	description	557	kidney disease	KIDNEY DISEASE	PREF
SDY132	description	4	disease	DISEASE	PREF
SDY132	description	83	cataract	CATARACT	PREF
SDY1260	condition_studied	4	disease	DISEASE	PREF
SDY583	brief_title	8469	influenza	INFLUENZA	PREF
SDY583	description	8469	influenza	INFLUENZA	PREF
SDY301	brief_title	8469	influenza	INFLUENZA	PREF
SDY301	condition_studied	8469	influenza	INFLUENZA	PREF
SDY301	description	8469	influenza	FLU	SYN
SDY356	condition_studied	1074	kidney failure	KIDNEY FAILURE	PREF
SDY356	hypothesis	326	ischemia	ISCHEMIA	PREF
SDY356	description	4	disease	DISEASE	PREF
SDY356	description	326	ischemia	ISCHEMIA	PREF
SDY564	brief_title	8469	influenza	INFLUENZA	PREF
SDY19	brief_title	399	tuberculosis	TUBERCULOSIS	PREF
SDY19	condition_studied	399	tuberculosis	TUBERCULOSIS	PREF
SDY19	hypothesis	399	tuberculosis	TUBERCULOSIS	PREF
SDY19	description	399	tuberculosis	TUBERCULOSIS	PREF
SDY19	description	399	tuberculosis	TUBERCULOSIS	PREF
SDY387	brief_title	8469	influenza	INFLUENZA	PREF
SDY387	hypothesis	8469	influenza	INFLUENZA	PREF
SDY34	brief_title	8469	influenza	INFLUENZA	PREF
SDY34	condition_studied	8469	influenza	INFLUENZA	PREF
SDY34	description	8469	influenza	INFLUENZA	PREF
SDY1182	condition_studied	2942	bronchiolitis	BRONCHIOLITIS	PREF
SDY1182	endpoints	2942	bronchiolitis	BRONCHIOLITIS	PREF
SDY1182	hypothesis	2942	bronchiolitis	BRONCHIOLITIS	PREF
SDY1182	description	2942	bronchiolitis	BRONCHIOLITIS	PREF
SDY1182	description	2942	bronchiolitis	BRONCHIOLITIS	PREF
SDY549	brief_title	2377	multiple sclerosis	MULTIPLE SCLEROSIS	PREF
SDY549	condition_studied	2377	multiple sclerosis	MULTIPLE SCLEROSIS	PREF
SDY549	description	417	autoimmune hypersensitivity disease	AUTOIMMUNE DISEASE	SYN
SDY549	description	4	disease	DISEASE	PREF
SDY36	condition_studied	2929	Newcastle disease	NEWCASTLE'S DISEASE	SYN
SDY36	condition_studied	4	disease	DISEASE	PREF
SDY36	endpoints	934	viral infectious disease	VIRUS INFECTION	SYN
SDY350	brief_title	8469	influenza	INFLUENZA	PREF
SDY350	condition_studied	8469	influenza	INFLUENZA	PREF
SDY350	endpoints	8469	influenza	INFLUENZA	PREF
SDY350	hypothesis	8469	influenza	INFLUENZA	PREF
SDY350	description	8469	influenza	INFLUENZA	PREF
SDY460	brief_title	8469	influenza	INFLUENZA	PREF
SDY460	hypothesis	2938	obsolete Epstein-Barr virus infectious disease	EBV INFECTION	SYN
SDY216	condition_studied	627	severe combined immunodeficiency	SCID	SYN
SDY216	condition_studied	4	disease	DISEASE	PREF
SDY216	condition_studied	4	disease	DISEASE	PREF
SDY216	condition_studied	1314	obsolete wasting syndrome	WASTING DISEASE	SYN
SDY216	description	0060180	colitis	COLITIS	PREF
SDY216	description	0060180	colitis	COLITIS	PREF
SDY50	description	8469	influenza	INFLUENZA	PREF
SDY296	brief_title	8469	influenza	INFLUENZA	PREF
SDY296	description	8469	influenza	FLU	SYN
SDY1276	brief_title	8469	influenza	INFLUENZA	PREF
SDY1276	condition_studied	8469	influenza	INFLUENZA	PREF
SDY1276	hypothesis	8469	influenza	INFLUENZA	PREF
SDY1276	hypothesis	8469	influenza	INFLUENZA	PREF
SDY1432	condition_studied	9351	diabetes mellitus	DIABETES MELLITUS	PREF
SDY1432	description	9993	hypoglycemia	HYPOGLYCEMIA	PREF
SDY223	brief_title	2841	asthma	ASTHMA	PREF
SDY223	brief_title	4481	allergic rhinitis	ALLERGIC RHINITIS	PREF
SDY223	brief_title	4483	rhinitis	RHINITIS	PREF
SDY223	condition_studied	2841	asthma	ASTHMA	PREF
SDY223	condition_studied	4481	allergic rhinitis	ALLERGIC RHINITIS	PREF
SDY223	condition_studied	4483	rhinitis	RHINITIS	PREF
SDY223	hypothesis	2841	asthma	ASTHMA	PREF
SDY223	hypothesis	4481	allergic rhinitis	ALLERGIC RHINITIS	PREF
SDY223	hypothesis	4483	rhinitis	RHINITIS	PREF
SDY223	description	2841	asthma	ASTHMA	PREF
SDY223	description	2841	asthma	ASTHMA	PREF
SDY223	description	2841	asthma	ASTHMA	PREF
SDY223	description	2841	asthma	ASTHMA	PREF
SDY223	description	1205	allergic hypersensitivity disease	ALLERGY	SYN
SDY78	condition_studied	934	viral infectious disease	VIRAL INFECTION	SYN
SDY819	brief_title	8469	influenza	INFLUENZA	PREF
SDY819	condition_studied	8469	influenza	INFLUENZA	PREF
SDY819	endpoints	8469	influenza	INFLUENZA	PREF
SDY819	description	8469	influenza	INFLUENZA	PREF
SDY1411	condition_studied	12365	malaria	MALARIA	PREF
SDY1411	hypothesis	12365	malaria	MALARIA	PREF
SDY1411	description	12365	malaria	MALARIA	PREF
SDY1411	description	4	disease	DISEASE	PREF
SDY1328	brief_title	12549	hepatitis A	HEPATITIS A	PREF
SDY1328	brief_title	2237	hepatitis	HEPATITIS	PREF
SDY1328	brief_title	11405	diphtheria	DIPHTHERIA	PREF
SDY1328	brief_title	11338	tetanus	TETANUS	PREF
SDY1328	brief_title	1498	cholera	CHOLERA	PREF
SDY1328	description	2043	hepatitis B	HEPATITIS B	PREF
SDY1328	description	2043	hepatitis B	HEPATITIS B	PREF
SDY1328	description	2043	hepatitis B	HEPATITIS B	PREF
SDY1328	description	2237	hepatitis	HEPATITIS	PREF
SDY1328	description	2237	hepatitis	HEPATITIS	PREF
SDY1328	description	2237	hepatitis	HEPATITIS	PREF
SDY363	condition_studied	934	viral infectious disease	VIRUS INFECTION	SYN
SDY1528	brief_title	10591	pre-eclampsia	PREECLAMPSIA	SYN
SDY1528	condition_studied	10591	pre-eclampsia	PREECLAMPSIA	SYN
SDY1528	hypothesis	10591	pre-eclampsia	PREECLAMPSIA	SYN
SDY1528	hypothesis	10591	pre-eclampsia	PREECLAMPSIA	SYN
SDY1528	description	10591	pre-eclampsia	PREECLAMPSIA	SYN
SDY1528	description	10591	pre-eclampsia	PREECLAMPSIA	SYN
SDY1528	description	10591	pre-eclampsia	PREECLAMPSIA	SYN
SDY1528	description	10591	pre-eclampsia	PREECLAMPSIA	SYN
SDY1528	description	10591	pre-eclampsia	PREECLAMPSIA	SYN
SDY1528	description	10591	pre-eclampsia	PREECLAMPSIA	SYN
SDY1528	description	10591	pre-eclampsia	PREECLAMPSIA	SYN
SDY13	brief_title	3310	atopic dermatitis	ATOPIC DERMATITIS	PREF
SDY13	brief_title	2723	dermatitis	DERMATITIS	PREF
SDY13	condition_studied	3310	atopic dermatitis	ATOPIC DERMATITIS	PREF
SDY13	condition_studied	2723	dermatitis	DERMATITIS	PREF
SDY13	description	3310	atopic dermatitis	ATOPIC DERMATITIS	PREF
SDY13	description	3310	atopic dermatitis	ATOPIC DERMATITIS	PREF
SDY13	description	2723	dermatitis	DERMATITIS	PREF
SDY13	description	2723	dermatitis	DERMATITIS	PREF
SDY13	description	2723	dermatitis	ECZEMA	SYN
SDY13	description	3298	vaccinia	VACCINIA	PREF
SDY13	description	8736	smallpox	SMALLPOX	PREF
SDY1025	brief_title	2841	asthma	ASTHMA	PREF
SDY1025	condition_studied	2841	asthma	ASTHMA	PREF
SDY1025	condition_studied	4481	allergic rhinitis	ALLERGIC RHINITIS	PREF
SDY1025	condition_studied	4483	rhinitis	RHINITIS	PREF
SDY1025	endpoints	4	disease	DISEASE	PREF
SDY1025	endpoints	2841	asthma	ASTHMA	PREF
SDY1025	hypothesis	2841	asthma	ASTHMA	PREF
SDY1025	hypothesis	2841	asthma	ASTHMA	PREF
SDY1025	hypothesis	4483	rhinitis	RHINITIS	PREF
SDY1025	description	2841	asthma	ASTHMA	PREF
SDY1025	description	2841	asthma	ASTHMA	PREF
SDY1025	description	4483	rhinitis	RHINITIS	PREF
SDY99	brief_title	8469	influenza	INFLUENZA	PREF
SDY99	brief_title	8469	influenza	INFLUENZA	PREF
SDY99	brief_title	934	viral infectious disease	VIRUS INFECTION	SYN
SDY99	condition_studied	8469	influenza	INFLUENZA	PREF
SDY99	endpoints	934	viral infectious disease	VIRUS INFECTION	SYN
SDY99	endpoints	8469	influenza	INFLUENZA	PREF
SDY99	hypothesis	8469	influenza	INFLUENZA	PREF
SDY99	description	8469	influenza	INFLUENZA	PREF
SDY99	description	8469	influenza	INFLUENZA	PREF
SDY1027	brief_title	2841	asthma	ASTHMA	PREF
SDY1027	condition_studied	2841	asthma	ASTHMA	PREF
SDY1027	hypothesis	2841	asthma	ASTHMA	PREF
SDY1027	hypothesis	2841	asthma	ASTHMA	PREF
SDY1027	hypothesis	2841	asthma	ASTHMA	PREF
SDY1027	description	2841	asthma	ASTHMA	PREF
SDY1115	description	9415	allergic asthma	ALLERGIC ASTHMA	PREF
SDY1115	description	2841	asthma	ASTHMA	PREF
SDY587	condition_studied	3686	obsolete Helicobacter pylori infectious disease	HELICOBACTER PYLORI INFECTION	SYN
SDY654	hypothesis	934	viral infectious disease	VIRAL INFECTION	SYN
SDY654	description	934	viral infectious disease	VIRUS INFECTION	SYN
SDY1148	description	4	disease	DISEASE	PREF
SDY1418	hypothesis	10591	pre-eclampsia	PREECLAMPSIA	SYN
SDY1094	endpoints	784	chronic kidney disease	CHRONIC KIDNEY DISEASE	PREF
SDY1094	endpoints	557	kidney disease	KIDNEY DISEASE	PREF
SDY1094	endpoints	4	disease	DISEASE	PREF
SDY272	brief_title	8469	influenza	INFLUENZA	PREF
SDY272	condition_studied	8469	influenza	INFLUENZA	PREF
SDY272	endpoints	8469	influenza	INFLUENZA	PREF
SDY272	description	8469	influenza	INFLUENZA	PREF
SDY51	brief_title	8469	influenza	INFLUENZA	PREF
SDY51	condition_studied	8469	influenza	INFLUENZA	PREF
SDY51	endpoints	8469	influenza	INFLUENZA	PREF
SDY51	endpoints	8469	influenza	INFLUENZA	PREF
SDY51	description	8469	influenza	INFLUENZA	PREF
SDY51	description	8469	influenza	INFLUENZA	PREF
SDY667	brief_title	4398	pustulosis of palm and sole	PALMOPLANTAR PUSTULOSIS	SYN
SDY667	condition_studied	8893	psoriasis	PSORIASIS	PREF
SDY667	hypothesis	8893	psoriasis	PSORIASIS	PREF
SDY667	description	8893	psoriasis	PSORIASIS	PREF
SDY667	description	8893	psoriasis	PSORIASIS	PREF
SDY667	description	8893	psoriasis	PSORIASIS	PREF
SDY667	description	8893	psoriasis	PSORIASIS	PREF
SDY357	condition_studied	8659	chickenpox	CHICKENPOX	PREF
SDY357	condition_studied	8659	chickenpox	VARICELLA	SYN
SDY357	endpoints	8659	chickenpox	VARICELLA	SYN
SDY357	description	0111084	Fanconi anemia complementation group E	FACE	SYN
SDY357	description	8659	chickenpox	VARICELLA	SYN
SDY357	description	8659	chickenpox	VARICELLA	SYN
SDY357	description	8659	chickenpox	VARICELLA	SYN
SDY357	description	8659	chickenpox	VARICELLA	SYN
SDY357	description	1240	leukemia	LEUKEMIA	PREF
SDY357	description	0050486	exanthem	RASH	SYN
SDY147	brief_title	8469	influenza	INFLUENZA	PREF
SDY147	endpoints	8469	influenza	INFLUENZA	PREF
SDY147	endpoints	8469	influenza	INFLUENZA	PREF
SDY147	hypothesis	8469	influenza	INFLUENZA	PREF
SDY147	description	8469	influenza	INFLUENZA	PREF
SDY147	description	8469	influenza	INFLUENZA	PREF
SDY147	description	8469	influenza	INFLUENZA	PREF
SDY147	description	8469	influenza	INFLUENZA	PREF
SDY147	description	8469	influenza	INFLUENZA	PREF
SDY147	description	8469	influenza	INFLUENZA	PREF
SDY147	description	8469	influenza	INFLUENZA	PREF
SDY147	description	4	disease	DISEASE	PREF
SDY662	description	162	cancer	CANCER	PREF
SDY1529	brief_title	9682	yellow fever	YELLOW FEVER	PREF
SDY1529	brief_title	9682	yellow fever	YELLOW FEVER	PREF
SDY1529	condition_studied	9682	yellow fever	YELLOW FEVER	PREF
SDY1529	hypothesis	9682	yellow fever	YELLOW FEVER	PREF
SDY1529	description	9682	yellow fever	YELLOW FEVER	PREF
SDY1294	brief_title	9682	yellow fever	YELLOW FEVER	PREF
SDY1294	condition_studied	9682	yellow fever	YELLOW FEVER	PREF
SDY1294	description	9682	yellow fever	YELLOW FEVER	PREF
SDY565	brief_title	9744	type 1 diabetes mellitus	TYPE 1 DIABETES MELLITUS	PREF
SDY565	brief_title	9351	diabetes mellitus	DIABETES MELLITUS	PREF
SDY565	endpoints	9993	hypoglycemia	HYPOGLYCEMIA	PREF
SDY28	brief_title	3298	vaccinia	VACCINIA	PREF
SDY28	condition_studied	3298	vaccinia	VACCINIA	PREF
SDY28	hypothesis	3298	vaccinia	VACCINIA	PREF
SDY28	hypothesis	3298	vaccinia	VACCINIA	PREF
SDY28	hypothesis	3298	vaccinia	VACCINIA	PREF
SDY28	hypothesis	3298	vaccinia	VACCINIA	PREF
SDY28	hypothesis	3298	vaccinia	VACCINIA	PREF
SDY28	hypothesis	3298	vaccinia	VACCINIA	PREF
SDY28	hypothesis	3298	vaccinia	VACCINIA	PREF
SDY28	hypothesis	3298	vaccinia	VACCINIA	PREF
SDY28	hypothesis	3298	vaccinia	VACCINIA	PREF
SDY28	hypothesis	934	viral infectious disease	VIRAL INFECTION	SYN
SDY28	description	3298	vaccinia	VACCINIA	PREF
SDY28	description	8736	smallpox	SMALLPOX	PREF
SDY28	description	8736	smallpox	SMALLPOX	PREF
SDY44	brief_title	8469	influenza	INFLUENZA	PREF
SDY44	condition_studied	4492	avian influenza	AVIAN INFLUENZA	PREF
SDY44	condition_studied	8469	influenza	INFLUENZA	PREF
SDY44	endpoints	4	disease	DISEASE	PREF
SDY44	description	4	disease	DISEASE	PREF
SDY44	description	8469	influenza	INFLUENZA	PREF
SDY44	description	8469	influenza	INFLUENZA	PREF
SDY44	description	8469	influenza	INFLUENZA	PREF
SDY44	description	0050211	swine influenza	SWINE INFLUENZA	PREF
SDY640	brief_title	8469	influenza	INFLUENZA	PREF
SDY640	condition_studied	8469	influenza	INFLUENZA	PREF
SDY640	endpoints	8469	influenza	FLU	SYN
SDY640	endpoints	8469	influenza	FLU	SYN
SDY640	description	8469	influenza	INFLUENZA	PREF
SDY1365	condition_studied	8577	ulcerative colitis	ULCERATIVE COLITIS	PREF
SDY1365	condition_studied	0060180	colitis	COLITIS	PREF
SDY37	brief_title	8469	influenza	INFLUENZA	PREF
SDY37	condition_studied	8469	influenza	INFLUENZA	PREF
SDY37	condition_studied	934	viral infectious disease	VIRUS INFECTION	SYN
SDY37	endpoints	934	viral infectious disease	VIRUS INFECTION	SYN
SDY37	hypothesis	8469	influenza	INFLUENZA	PREF
